NroPedidoWeb,FechaPedido,ClienteEmpresa,Producto,Cantidad,PrecioUnitario,Descuento,MetodoEnvio,Campana
WEB-9110,06/26/2026,Lonesome Pine Restaurant,Röd Kaviar,3,52.60,0,Speedy Gonzalez Express,Push Campaing
WEB-9160,24-06-2026,Richter Supermarkt,Filo Mix,10,34.43,0,Retiro en tienda,Automatic CRM Campaing
WEB-9108,20/08/2026,Berglunds snabbköp,Raclette Courdavault,25,54.98,0.15,World Package,Opening Campaing
WEB-9125,06/29/2026,Que Delícia,Pavlova,17,22.75,0.1,National Shipping,GoodBye Campaing
WEB-9140,07/24/2026,Richter Supermarkt,Genen Shouyu,23,41.72,0.1,National Shipping,
WEB-9062,07/22/2026,Bon app',Chocolade,8,19.61,0.1,National Shipping,Opening Campaing
WEB-9049,26-06-2026,Océano Atlántico Ltda.,Outback Lager,25,"45,87",0.1,World Package,
WEB-9109,07/25/2026,White Clover Markets,Original Frankfurter grüne Soße,4,59.73,0.15,World Package,Winter is Comming Again 
WEB-9005,22/06/2026,Berglunds snabbköp,Sir Rodney's Scones,12,51.43,0,Speedy Gonzalez Express,Test New CRM
WEB-9098,05/08/2026,Furia Bacalhau e Frutos do Mar,Wimmers gute Semmelknödel,22,"28,65",0,World Package,GoodBye Campaing
WEB-9042,2026-06-27,North/South,Filo Mix,21,50.66,0,National Shipping,GoodBye Campaing
WEB-9126,21-06-2026,Old World Delicatessen,Outback Lager,24,42.53,0.1,Speedy Gonzalez Express,
WEB-9134,07/20/2026,Old World Delicatessen,Sir Rodney's Scones,20,44.29,0,National Shipping,Opening Campaing
WEB-9053,2026-08-22,Trail's Head Gourmet Provisioners,Aniseed Syrup,25,55.38,0,Speedy Gonzalez Express,Schools Return
WEB-9114,02-08-2026,Reggiani Caseifici,Genen Shouyu,19,60.20,0,National Shipping,Aniversary Campaing
WEB-9113,12/08/2026,Ottilies Käseladen,Queso Manchego La Pastora,2,27.03,0.05,National Shipping,Christmas Campaing
WEB-9105,08/01/2026,White Clover Markets,Sir Rodney's Scones,4,34.01,0.05,National Shipping,
WEB-9026,19-08-2026,Richter Supermarkt,Aniseed Syrup,3,39.53,0,National Shipping,Schools Return
WEB-9152,08/03/2026,Ana Trujillo Emparedados y helados,Queso Manchego La Pastora,-3,58.34,0.15,Speedy Gonzalez Express,First Day Campaing
WEB-9157,,Distribuidora Andina Cia Ltda,Aniseed Syrup,12,30.90,0.05,National Shipping,
WEB-9065,07/20/2026,Hungry Owl All-Night Grocers,Raclette Courdavault,11,"29,15",0.05,National Shipping,Summer Campaing
WEB-9040,22/08/2026,Hungry Owl All-Night Grocers,Ikura,1,59.66,0.15,Speedy Gonzalez Express,Christmas Campaing
WEB-9038,07-08-2026,Wilman Kala,Pavlova,12,"38,70",0.05,Speedy Gonzalez Express,Christmas Campaing
WEB-9022,06-07-2026,White Clover Markets,Pavlova,1,10.78,0.05,Speedy Gonzalez Express,Aniversary Campaing
WEB-9045,2026-06-21,Old World Delicatessen,Ipoh Coffee,12,59.02,0.1,World Package,Test New CRM
WEB-9085,07-06-2026,Alfreds Futterkiste,Ikura,23,47.49,0,Speedy Gonzalez Express,
WEB-9142,2026-08-05,Distribuidora Andina Cia Ltda,Aniseed Syrup,12,30.90,0.05,National Shipping,
WEB-9156,27/07/2026,,Raclette Courdavault,17,16.07,0.15,Speedy Gonzalez Express,Push Campaing
WEB-9072,2026-06-08,Lazy K Kountry Store,Perth Pasties,5,24.40,0.15,National Shipping,Push Campaing
WEB-9015,2026-06-24,Old World Delicatessen,Sir Rodney's Scones,13,36.15,0,National Shipping,Winter is Comming Campaing
WEB-9069,21/06/2026,Gourmet Lanchonetes,Sir Rodney's Marmalade,25,"60,06",0.05,National Shipping,Christmas Campaing
WEB-9011,08/08/2026,Eastern Connection,Vegie-spread,16,"41,12",0.05,World Package,Automatic CRM Campaing
WEB-9023,05-06-2026,Alfreds Futterkiste,Pavlova,13,"29,97",0.05,Speedy Gonzalez Express,Push Campaing
WEB-9007,2026-07-02,Bon app',Outback Lager,12,35.98,0.05,National Shipping,Aniversary Campaing
WEB-9155,22/08/2026,,Ikura,1,59.66,0.15,Speedy Gonzalez Express,Christmas Campaing
WEB-9082,2026-08-17,Save-a-lot Markets,Gudbrandsdalsost,8,"56,42",0,National Shipping,Winter is Comming Campaing
WEB-9101,24-06-2026,Richter Supermarkt,Filo Mix,10,34.43,0,Speedy Gonzalez Express,Automatic CRM Campaing
WEB-9051,03/07/2026,Rattlesnake Canyon Grocery,Filo Mix,19,43.82,0.1,National Shipping,Push Campaing
WEB-9008,07/04/2026,Alfreds Futterkiste,Vegie-spread,25,"50,26",0,World Package,First Day Campaing
WEB-9121,08/01/2026,Godos Cocina Típica,Perth Pasties,13,62.04,0,Speedy Gonzalez Express,Opening Campaing
WEB-9002,17-07-2026,Richter Supermarkt,Queso Manchego La Pastora,11,60.62,0.1,World Package,Schools Return
WEB-9064,07/31/2026,Bon app',Fløtemysost,6,10.16,0.15,Speedy Gonzalez Express,Summer Campaing
WEB-9063,06-06-2026,Paris spécialités,Original Frankfurter grüne Soße,12,58.42,0.05,Speedy Gonzalez Express,
WEB-9092,06/30/2026,Folk och fä HB,Sir Rodney's Scones,20,"41,61",0.05,National Shipping,GoodBye Campaing
WEB-9151,15-07-2026,Furia Bacalhau e Frutos do Mar,Outback Lager,-3,"59,17",0,National Shipping,Push Campaing
WEB-9106,01-07-2026,Paris spécialités,Wimmers gute Semmelknödel,14,"21,87",0,National Shipping,Summer Campaing
WEB-9024,02-07-2026,Rattlesnake Canyon Grocery,Gnocchi di nonna Alice,7,52.43,0.15,National Shipping,Summer Campaing
